origem_ponto,origem_lat,origem_long,destino_ponto,destino_lat,destino_long
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Instituto Butantan, São Paulo, SP, Brasil",-23.56699385,-46.72040888262042
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque Villa-Lobos, São Paulo, SP, Brasil",-23.5439238,-46.725835
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Centro Cultural São Paulo, São Paulo, SP, Brasil",-23.5700325,-46.64023039547913
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Universidade de São Paulo (USP, Portão 1), São Paulo, SP, Brasil",-23.56663,-46.7091
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Igreja de São Bento, São Paulo, SP, Brasil",-23.5439504,-46.6366131
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Praça Roosevelt, São Paulo, SP, Brasil",-23.54869465,-46.64678129316892
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Rua Augusta, São Paulo, SP, Brasil",-23.559829,-46.6619973
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Teatro Municipal de São Paulo, São Paulo, SP, Brasil",-23.54528045,-46.6386378327257
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Edifício Itália, São Paulo, SP, Brasil",-23.54552955,-46.64357659411765
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Biblioteca Mário de Andrade, São Paulo, SP, Brasil",-23.54738975,-46.64210482783021
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Sambódromo do Anhembi, São Paulo, SP, Brasil",-23.5201591,-46.646941
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Estação da Luz, São Paulo, SP, Brasil",-23.53512225,-46.63539301511077
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Museu de Arte de São Paulo (MASP), São Paulo, SP, Brasil",-23.561409,-46.6607528
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Centro Cultural Banco do Brasil, São Paulo, SP, Brasil",-23.5475552,-46.6346871
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque da Independência, São Paulo, SP, Brasil",-23.58068085,-46.6093112
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Praça da Sé, São Paulo, SP, Brasil",-23.5503898,-46.6330809
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Conjunto Nacional, São Paulo, SP, Brasil",-23.55904075,-46.66023550128296
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"UPA - Vila Santa Catarina, São Paulo, SP, Brasil",-23.6567612,-46.6561865
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Teatro J. Safra, São Paulo, SP, Brasil",-23.5163523,-46.6792215
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque Ecológico do Tietê, São Paulo, SP, Brasil",-23.50206745,-46.53855120749404
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Aricanduva, São Paulo, SP, Brasil",-23.565902,-46.50307491040508
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Sesc Itaquera, São Paulo, SP, Brasil",-23.58095,-46.468638095570725
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque do Carmo, São Paulo, SP, Brasil",-23.5787082,-46.458056
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Metrô Itaquera, São Paulo, SP, Brasil",-23.54076145,-46.47049279786765
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Estádio do Corinthians (NeoQuimica Arena), São Paulo, SP, Brasil",-23.5453084,-46.4791001
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Centro de Exposições Imigrantes, São Paulo, SP, Brasil",-23.64396315,-46.629504947154565
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Pico do Jaraguá, São Paulo, SP, Brasil",-23.458333,-46.765278
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Avenida Paulista, São Paulo, SP, Brasil",-23.5558612,-46.6625362
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Edifício Copan, São Paulo, SP, Brasil",-23.54659435,-46.64453306171171
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Continental Shopping, São Paulo, SP, Brasil",-23.547523,-46.7621955
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Rua Vinte e Cinco de Março, São Paulo, SP, Brasil",-23.5392837,-46.6320647
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Avenida Brigadeiro Faria Lima, São Paulo, SP, Brasil",-23.567437,-46.6931773
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Parque do Ibirapuera, São Paulo, SP, Brasil",-23.58771265,-46.65852139371083
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Shopping Interlagos, São Paulo, SP, Brasil",-23.6717075,-46.6778286
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Hospital das Clínicas, São Paulo, SP, Brasil",-23.557827,-46.6727323
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Shopping Center Norte, São Paulo, SP, Brasil",-23.5162851,-46.61803653103877
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Parque da Juventude, São Paulo, SP, Brasil",-23.50737775,-46.62177797548021
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Mercado Municipal de São Paulo, São Paulo, SP, Brasil",-23.54173325,-46.62952437380088
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Shopping Metrô Tatuapé, São Paulo, SP, Brasil",-23.541689,-46.57704635126976
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Senac Nações Unidas, São Paulo, SP, Brasil",-23.6698233,-46.7017363
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Hospital São Camilo, São Paulo, SP, Brasil",-23.5339296,-46.6931917
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Shopping Vila Maria, São Paulo, SP, Brasil",-23.5919413,-46.7600413
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Igreja Nossa Senhora do Brasil, São Paulo, SP, Brasil",-23.56946695,-46.67277716373626
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Parque da Água Branca, São Paulo, SP, Brasil",-23.5303306,-46.66953612685586
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Shopping Penha, São Paulo, SP, Brasil",-23.5251778,-46.54675185766971
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Museu do Futebol, São Paulo, SP, Brasil",-23.5474227,-46.6654699
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Instituto Butantan, São Paulo, SP, Brasil",-23.56699385,-46.72040888262042
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Parque Villa-Lobos, São Paulo, SP, Brasil",-23.5439238,-46.725835
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Centro Cultural São Paulo, São Paulo, SP, Brasil",-23.5700325,-46.64023039547913
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Universidade de São Paulo (USP, Portão 1), São Paulo, SP, Brasil",-23.56663,-46.7091
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Igreja de São Bento, São Paulo, SP, Brasil",-23.5439504,-46.6366131
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Praça Roosevelt, São Paulo, SP, Brasil",-23.54869465,-46.64678129316892
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Rua Augusta, São Paulo, SP, Brasil",-23.559829,-46.6619973
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Teatro Municipal de São Paulo, São Paulo, SP, Brasil",-23.54528045,-46.6386378327257
"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085,"Edifício Itália, São Paulo, SP, Brasil",-23.54552955,-46.64357659411765
